user_id,full_name,email,signup_date,country,device_type,subscription_plan,account_status
1,Melissa Parker,ushaw@example.org,2025-12-14,UK,Desktop,Premium,Active
2,Allison Green,johnchristensen@example.com,2025-01-31,Australia,Desktop,Premium,Inactive
3,Pamela Lewis,thomaspotter@example.org,2026-03-22,India,Desktop,Free,Inactive
4,Danielle Kirby,chunglisa@example.org,2025-01-05,Australia,Desktop,Pro,Inactive
5,Marissa Erickson,williamolson@example.org,2025-07-13,Australia,Tablet,Premium,Active
6,Erika Owens,fbrooks@example.org,2025-01-05,UK,Mobile,Pro,Inactive
7,Gabriel Calderon,vargasbenjamin@example.net,2025-12-20,Canada,Mobile,Pro,Active
8,Kevin Goodman,dwarner@example.net,2026-01-30,Canada,Desktop,Premium,Active
9,Michelle Gaines,seancampbell@example.org,2024-07-29,USA,Mobile,Pro,Active
10,Ernest Smith,ericawilson@example.net,2025-01-20,India,Desktop,Premium,Active
11,Edward Palmer,margaretbaker@example.net,2025-01-02,Canada,Mobile,Pro,Inactive
12,Alexis Watkins,villarrealwhitney@example.net,2024-08-16,Germany,Desktop,Premium,Inactive
13,Sarah Ortiz,kroberts@example.net,2026-03-03,UK,Tablet,Free,Active
14,Ryan Taylor,chayes@example.net,2026-01-07,USA,Desktop,Pro,Inactive
15,Helen Klein,elizabeth48@example.org,2025-04-28,India,Tablet,Free,Inactive
16,James Christensen,mindy52@example.com,2025-05-05,Canada,Mobile,Free,Active
17,Stacy Evans,plamb@example.net,2026-04-30,UK,Mobile,Premium,Inactive
18,Brenda Shaw,ysalinas@example.net,2025-05-17,USA,Tablet,Premium,Active
19,Neil Garcia,travis25@example.com,2025-03-22,India,Desktop,Free,Inactive
20,Kenneth Lowe,michelleharvey@example.net,2025-10-01,Canada,Desktop,Free,Active
21,Kathryn Mccall,jimmy54@example.com,2024-07-20,Canada,Mobile,Pro,Active
22,Dana Kerr,gary25@example.org,2025-08-19,Australia,Mobile,Free,Inactive
23,Lisa Walker,richardfisher@example.com,2025-12-27,Australia,Tablet,Premium,Active
24,Erin Todd,trevor18@example.net,2025-06-25,USA,Mobile,Free,Inactive
25,Juan Morgan,egutierrez@example.org,2025-01-21,Germany,Tablet,Free,Active
26,Andrea Skinner,byu@example.org,2025-12-12,UK,Mobile,Pro,Inactive
27,John Becker,davidgreen@example.com,2024-10-09,UK,Mobile,Premium,Active
28,Casey Taylor,lbrown@example.org,2026-05-23,USA,Tablet,Free,Active
29,Gregory Schaefer,martinezmelissa@example.com,2026-04-30,India,Mobile,Free,Inactive
30,Stephanie Lopez,owenmichelle@example.net,2025-03-04,USA,Desktop,Pro,Inactive
31,William Flores,melissa69@example.org,2026-07-03,Australia,Tablet,Pro,Inactive
32,Robert Watson,hjones@example.org,2026-02-09,Canada,Desktop,Premium,Active
33,Sarah Watson,sharpjohn@example.com,2026-06-25,Australia,Mobile,Premium,Inactive
34,Dale Gill,johnberry@example.com,2026-01-20,Australia,Tablet,Premium,Inactive
35,Morgan Miller,jeffrey81@example.com,2024-09-15,Germany,Mobile,Free,Inactive
36,Brandon Mccarthy,taylornathan@example.net,2024-10-17,India,Tablet,Free,Inactive
37,Samuel Henry,colleenmartin@example.org,2025-12-12,India,Mobile,Premium,Active
38,Felicia Estrada,joshuaallen@example.com,2025-03-17,UK,Tablet,Free,Active
39,Stephen White,vmaxwell@example.com,2026-01-06,Germany,Desktop,Pro,Active
40,Christopher Trujillo,michael76@example.org,2025-08-31,Australia,Tablet,Premium,Active
41,Sergio Johnson,jennifercarlson@example.com,2024-10-18,Germany,Mobile,Pro,Inactive
42,Robert Green,johnsonmarie@example.org,2025-04-02,Canada,Desktop,Premium,Active
43,Mary Patel,christopher65@example.org,2025-10-31,India,Desktop,Pro,Active
44,Lisa Hensley,alexanderfoster@example.net,2025-11-17,Australia,Mobile,Pro,Active
45,Margaret Brown,matthew94@example.org,2025-11-03,UK,Desktop,Free,Active
46,Ashley Cole,hcarpenter@example.org,2026-01-08,India,Tablet,Pro,Inactive
47,Eric Colon,bvance@example.net,2026-05-29,Germany,Desktop,Free,Active
48,Paula Myers,smithjoseph@example.org,2024-10-13,India,Desktop,Pro,Inactive
49,Deborah Gilmore,julianowens@example.net,2024-12-30,Canada,Desktop,Pro,Inactive
50,Jason Martin,qbradley@example.com,2025-09-06,USA,Desktop,Free,Inactive
51,Marilyn Stone,dannywhitehead@example.org,2024-11-12,Canada,Mobile,Free,Active
52,Nicole Sullivan,jordanmelissa@example.org,2025-11-17,Canada,Mobile,Premium,Inactive
53,Stephen Little,dmorgan@example.com,2024-11-08,Germany,Mobile,Free,Inactive
54,Courtney Hampton,vnewman@example.com,2026-03-22,Australia,Mobile,Free,Active
55,Robert Franklin,justin68@example.net,2024-12-27,Australia,Tablet,Premium,Inactive
56,Donald Robinson,crystal27@example.com,2026-02-26,Canada,Desktop,Pro,Active
57,Ann Bennett,fisherrobert@example.net,2025-01-23,Australia,Desktop,Pro,Active
58,Debra Mcfarland,jacobgibson@example.org,2024-11-18,Australia,Mobile,Pro,Inactive
59,Tracy Nichols,nmartinez@example.org,2025-06-24,India,Tablet,Free,Active
60,Walter Mcmillan,kristinawilson@example.net,2024-07-22,USA,Desktop,Free,Active
61,Lauren Clark,ryanavila@example.net,2026-04-16,Canada,Mobile,Pro,Inactive
62,Tammy Ross,patricia06@example.net,2025-11-26,Canada,Desktop,Premium,Inactive
63,Eric Reid,njohnson@example.net,2025-09-20,USA,Tablet,Pro,Inactive
64,Joseph Hicks,hollandangela@example.org,2025-05-27,USA,Mobile,Pro,Active
65,Theresa Robinson,turnerjames@example.net,2025-06-28,USA,Desktop,Free,Active
66,Kathleen Romero,thorntonkenneth@example.net,2024-10-07,India,Mobile,Premium,Inactive
67,Ashley Bean,nmata@example.org,2025-11-11,UK,Tablet,Premium,Active
68,Joanne Ramirez,jerryford@example.net,2025-10-03,UK,Desktop,Pro,Active
69,Shawn Williams,blakemorris@example.com,2024-11-07,UK,Tablet,Pro,Inactive
70,Michelle Blake,heididavidson@example.org,2025-01-01,India,Mobile,Premium,Inactive
71,Alex Farrell,johnstone@example.com,2025-02-09,India,Mobile,Pro,Inactive
72,Seth Harris,larry96@example.org,2025-05-15,Germany,Mobile,Pro,Active
73,Brenda Stone,adam12@example.org,2025-04-03,UK,Mobile,Pro,Active
74,Vanessa Banks,zballard@example.org,2026-01-10,UK,Mobile,Pro,Active
75,April Campbell MD,tlawson@example.org,2025-08-14,Canada,Tablet,Free,Inactive
76,Matthew Nguyen,heather77@example.com,2026-05-09,UK,Desktop,Pro,Active
77,Mark Hubbard,susan82@example.net,2024-08-18,UK,Tablet,Free,Active
78,Laura Cook,josepeters@example.com,2025-07-22,Germany,Tablet,Premium,Inactive
79,Ann Mccoy,huynhjeffrey@example.com,2026-06-07,Canada,Tablet,Pro,Inactive
80,Brian Kaufman,wramirez@example.com,2026-01-17,UK,Tablet,Premium,Inactive
81,Dorothy Bean,linda41@example.net,2025-07-03,Germany,Tablet,Pro,Inactive
82,Dennis Schultz,antoniomoore@example.org,2025-01-04,India,Mobile,Premium,Active
83,Douglas Morales,daniel24@example.com,2025-08-26,Australia,Desktop,Free,Active
84,Larry Nguyen DDS,joycesean@example.org,2025-08-04,UK,Tablet,Pro,Active
85,David Davis,anita55@example.org,2025-09-17,USA,Tablet,Premium,Active
86,Emily Edwards,collinsmichelle@example.com,2024-12-11,UK,Desktop,Premium,Inactive
87,Jessica Woods,karen40@example.net,2025-03-02,UK,Mobile,Free,Active
88,Eric Hill,delacruzhannah@example.net,2025-05-08,Australia,Desktop,Free,Active
89,Debra West,rodriguezashley@example.net,2025-04-03,Canada,Mobile,Premium,Inactive
90,Benjamin Padilla,aaron86@example.org,2024-11-18,Australia,Mobile,Free,Inactive
91,April Fitzgerald,reynoldsjacob@example.com,2025-03-11,Canada,Tablet,Pro,Inactive
92,Jamie Andrews,kimberlysnyder@example.com,2025-09-11,USA,Mobile,Premium,Inactive
93,Rachel Zhang,scott49@example.com,2024-08-28,Canada,Tablet,Pro,Active
94,Kim Hart,jessicarodriguez@example.com,2025-09-23,USA,Mobile,Free,Active
95,Melissa Murphy,jlamb@example.org,2026-02-18,India,Mobile,Pro,Inactive
96,Joshua Roth,dustin17@example.org,2024-08-11,Australia,Mobile,Premium,Inactive
97,Teresa Crawford,juliawright@example.org,2024-11-22,Australia,Desktop,Pro,Active
98,Veronica Burton,stacy79@example.com,2026-02-10,UK,Desktop,Free,Active
99,Melody Clark,douglas77@example.com,2024-12-07,UK,Mobile,Premium,Active
100,Rebecca Stewart,jamesmaynard@example.com,2024-08-15,Australia,Desktop,Premium,Active
101,Rodney Palmer,christopherarmstrong@example.org,2025-12-28,Germany,Mobile,Free,Inactive
102,Steven Alvarez,shaunsolis@example.com,2024-12-26,Canada,Tablet,Premium,Inactive
103,Jennifer Thomas MD,heather12@example.org,2025-03-31,UK,Mobile,Premium,Inactive
104,Ruben Thompson,lynnshepard@example.com,2025-07-21,USA,Desktop,Premium,Inactive
105,Ruben Reynolds,jacobnelson@example.net,2025-07-13,Germany,Mobile,Free,Inactive
106,Samantha Walker,danaphillips@example.com,2024-08-19,Canada,Tablet,Free,Inactive
107,Pamela Johnson,michelleward@example.org,2025-05-22,India,Desktop,Pro,Inactive
108,Jeffrey Warren,lisa16@example.com,2024-09-12,Canada,Desktop,Pro,Active
109,Brittany White,lflynn@example.com,2025-06-17,Canada,Tablet,Free,Inactive
110,Ann Williams,jacob13@example.net,2025-09-17,Canada,Mobile,Premium,Active
111,Derrick Brown,milleramy@example.org,2024-10-08,Germany,Tablet,Premium,Inactive
112,Kyle Fry,alison04@example.com,2026-02-21,Germany,Tablet,Free,Inactive
113,Jessica Lin,castillomichelle@example.org,2024-08-12,Australia,Mobile,Pro,Active
114,John Hernandez,justindavis@example.org,2024-10-02,Australia,Desktop,Free,Inactive
115,Eileen Frazier,anthonyfaulkner@example.net,2025-08-20,Germany,Mobile,Pro,Active
116,Dana Parker,courtneypatterson@example.net,2026-02-07,USA,Mobile,Free,Active
117,Crystal Hill,charlene09@example.com,2024-07-09,USA,Mobile,Premium,Inactive
118,Sherry Greene,fbrennan@example.net,2026-02-10,India,Tablet,Premium,Active
119,Traci Alexander,lauraruiz@example.com,2025-06-18,Australia,Mobile,Free,Inactive
120,Mary Fisher,ybridges@example.net,2024-09-25,Canada,Mobile,Free,Active
121,Jay Harper,qwoods@example.org,2026-04-22,USA,Tablet,Pro,Active
122,David Morgan,emckee@example.com,2025-10-27,USA,Desktop,Pro,Inactive
123,Heather Mccann,geraldscott@example.com,2024-11-19,Australia,Desktop,Premium,Active
124,Joe Cain,williamduncan@example.org,2024-10-08,Canada,Desktop,Free,Active
125,Emily Phillips,henrymicheal@example.net,2026-01-30,Australia,Desktop,Premium,Inactive
126,Derek Boone,gregory90@example.com,2026-04-20,UK,Mobile,Premium,Inactive
127,Natalie Robinson,cynthiarussell@example.org,2024-09-01,Germany,Mobile,Pro,Active
128,Kristen Thomas,davilalisa@example.com,2025-10-29,UK,Mobile,Premium,Active
129,Jason Delgado,richard10@example.org,2025-11-21,Canada,Tablet,Pro,Active
130,Michelle Fox,ashley23@example.com,2024-12-21,UK,Tablet,Free,Active
131,Rachel Williamson,michael50@example.org,2025-06-27,Canada,Desktop,Premium,Active
132,Stephanie Gonzalez,jason69@example.org,2024-08-12,Canada,Mobile,Premium,Inactive
133,Christopher Lee,silvaphillip@example.org,2025-10-12,India,Mobile,Free,Active
134,April Rodriguez,jeffrey72@example.com,2026-03-23,India,Desktop,Premium,Inactive
135,Bryce Lee,debbierobertson@example.com,2025-03-18,Germany,Tablet,Free,Inactive
136,Douglas Watson,ortizmatthew@example.org,2025-02-07,Canada,Mobile,Free,Active
137,Brittany White,cynthia77@example.com,2025-11-08,USA,Mobile,Pro,Inactive
138,Sarah Cain,james53@example.org,2025-11-27,USA,Desktop,Free,Inactive
139,Elizabeth Young,andrealewis@example.org,2026-04-08,Australia,Mobile,Premium,Inactive
140,Alan Jenkins,brandylewis@example.net,2025-04-22,USA,Desktop,Pro,Active
141,Stephanie Warren,kurtlopez@example.com,2025-10-18,India,Tablet,Free,Inactive
142,Cory Brown,adam52@example.net,2024-11-22,USA,Tablet,Pro,Active
143,Matthew Mora,derek29@example.com,2024-12-02,Australia,Desktop,Pro,Inactive
